,Table 1,Unnamed: 1
0,Question,Key
1,Q1,D
2,Q2,C
3,Q3,C
4,Q4,D
5,Q5,B
6,Q6,A
7,Q7,A
8,Q8,A
9,Q9,"B, C"
10,Q10,"A, B, D"
11,Q11,"A, C"
12,Q12,"A, B, C"
13,Q13,"A, B, C, D"
14,Q14,D
15,Q15,B
16,Q16,A
17,Q17,B
18,Q18,D
19,Q19,2
20,Q20,9
21,Q21,1
22,Q22,2
23,Q23,2
24,Q24,1
25,Q25,8
26,Q26,2
27,Q27,7
28,Q28,4
29,Q29,C
30,Q30,B
31,Q31,D
32,Q32,C
33,Q33,C
34,Q34,A
35,Q35,B
36,Q36,A
37,Q37,"A, B, C"
38,Q38,"A, C"
39,Q39,"B, D"
40,Q40,"A, C"
41,Q41,"A, B, C, D"
42,Q42,A
43,Q43,C
44,Q44,A
45,Q45,C
46,Q46,A
47,Q47,4
48,Q48,3
49,Q49,2
50,Q50,3
51,Q51,4
52,Q52,9
53,Q53,6
54,Q54,5
55,Q55,1
56,Q56,4
57,Q57,A
58,Q58,A
59,Q59,C
60,Q60,B
61,Q61,C
62,Q62,C
63,Q63,A
64,Q64,D
65,Q65,"A, B, D"
66,Q66,"A, C, D"
67,Q67,"A, C, D"
68,Q68,"A, B, C"
69,Q69,"B, C"
70,Q70,B
71,Q71,D
72,Q72,B
73,Q73,B
74,Q74,C
75,Q75,3
76,Q76,3
77,Q77,8
78,Q78,6
79,Q79,1
80,Q80,3
81,Q81,2
82,Q82,1
83,Q83,6
84,Q84,4
